date,841_no frills,841_walmart,841_superstore,841_sobeys,841_costco,47_honda,47_ford,47_dodge,47_nissan,47_toyota,1190_wolseley,1190_gm,1190_chrysler,1190_ford,1190_automotive,1191_bikes,1191_bmx,1191_velo,1191_bicycle,1191_bike,1140_canoe,1140_boat,1140_kayak,1140_bateau,1140_sail,1213_trailers,1213_roulotte,1213_trailer,1213_camper,1213_rv,1013_vintage,1013_cars,1013_encan,1013_classic cars,1013_tucker,1214_trailers,1214_trucks,1214_trailer,1214_truck,1214_hebdo,806_lamborghini,806_spartan,806_mclaren,806_bugatti,806_performance,810_electric car,810_hybrid,810_motor,810_toyota,810_prius,1317_buddy,1317_smart car,1317_morris,1317_smart,1317_door lock,273_yamaha,273_harley davidson,273_motorcycles,273_harley,273_motorcycle,148_ski doo,148_arctic cat,148_polaris,148_arctic,148_atv,1147_plane,1147_aircraft,1147_cessna,1147_titan,1147_airplane,1212_scooter,1212_scooters,1212_yamaha,1212_roller,1212_vespa,610_vans,610_truck,610_ford,610_suv,610_dodge,815_honda,815_ford,815_bmw,815_dodge,815_toyota,1294_points,1294_permis de conduire,1294_speeding ticket,1294_speeding,1294_driving test,170_driving school,170_driving,170_change address,170_license,170_plate,138_tools,138_auto repair,138_apk,138_mechanic,138_automotive,89_tires,89_auto parts,89_rims,89_tire,89_garmin,473_used,473_cars,473_auto,473_autotrader,473_car,803_auto show,803_2010,803_home show,803_convention centre,803_car show,121_super,121_super c,121_circulaire,121_iga,121_grocery,276_pizza,276_restaurant,276_tim hortons,276_pizza pizza,276_restaurants,650_portail,650_doors,650_air conditioner,650_wood,650_home depot,73_sears,73_walmart,73_walmart canada,73_canadian tire,73_store,355_books,355_renaud,355_livres,355_librairie,355_livre,1146_eb games,1146_ebgames,1146_eb,1146_game,1146_games,18_walmart,18_netflix,18_kijiji,18_canadian tire,18_amazon,1225_outlet,1225_costco hours,1225_outlets,1225_wholesale,1225_costco,270_ikea,270_ikea canada,270_lighting,270_furniture,270_light,659_gas station,659_gas,659_shell,659_oil,659_alberta,1268_gas prices,1268_gas costco,1268_gas,1268_costco,1268_gas buddy,38_saaq,38_blue cross,38_assurance,38_insurance,38_desjardins,844_barcode,844_display,844_pos,844_rfid,844_scanner,614_ticketmaster,614_cineplex,614_vancouver,614_ticket,614_centre bell
2006-07-01,15,22,30,16,17,88,56,63,85,79,69,20,32,38,24,67,54,29,66,34,29,68,53,39,64,91,43,57,30,58,51,40,54,53,27,84,61,57,56,51,47,3,38,43,60,27,37,57,23,27,25,27,58,29,26,76,75,94,74,74,3,15,26,16,72,14,66,61,20,26,66,50,100,37,85,38,61,48,26,63,90,60,5,69,84,42,41,40,62,56,58,74,56,26,25,59,27,0,23,51,24,64,62,21,32,89,84,96,76,75,3,0,3,28,26,17,10,2,7,8,21,39,17,21,22,1,57,18,58,27,56,18,21,48,38,54,26,36,47,28,34,56,36,38,35,19,0,2,30,8,46,1,23,64,17,28,33,78,86,21,6,55,83,58,80,11,0,13,0,3,24,93,44,62,54,33,60,63,51,44,64,54,77,68,35
2006-08-01,15,17,26,15,16,91,55,64,85,83,39,13,28,39,45,59,68,19,63,32,26,63,44,29,63,96,35,64,32,56,44,48,54,41,13,81,59,55,47,79,44,11,28,37,46,23,29,71,25,36,29,31,35,34,24,74,62,70,67,73,6,18,26,18,70,14,63,56,26,29,59,54,70,34,68,42,75,44,29,58,96,61,6,73,90,31,63,46,53,58,80,92,42,27,25,77,37,0,26,58,24,68,56,22,38,88,89,98,74,75,2,0,7,38,27,16,9,2,8,7,24,41,17,24,23,1,62,6,60,21,61,18,17,38,44,58,34,42,62,22,31,59,32,31,32,18,1,3,26,8,54,1,30,60,17,36,39,74,90,21,9,59,72,63,79,12,0,13,0,2,25,100,50,60,50,30,63,60,65,38,79,43,73,99,60
2006-09-01,17,19,25,15,15,82,53,60,80,73,42,23,26,93,42,50,63,12,40,23,26,41,29,20,50,59,24,33,21,41,57,42,31,25,20,70,69,45,50,52,40,12,33,41,53,23,20,63,18,25,29,23,32,26,15,63,50,64,52,58,9,38,38,38,84,17,61,64,22,31,41,29,50,37,47,33,74,47,22,43,85,59,5,68,76,55,33,48,69,36,41,64,41,23,22,77,32,0,30,46,29,57,55,24,27,71,73,90,68,62,3,0,43,57,21,17,10,3,7,8,22,39,17,22,22,2,52,2,60,22,61,16,17,29,39,67,54,54,64,43,34,60,36,34,34,17,1,3,21,8,41,1,19,62,17,27,26,72,90,27,7,54,96,62,77,10,0,10,0,3,22,90,40,57,47,42,59,58,55,35,75,22,75,78,80
2006-10-01,17,19,25,15,16,71,51,54,74,69,26,12,16,48,30,38,49,8,32,17,12,27,16,15,37,39,9,24,15,30,31,26,52,21,32,58,65,36,44,57,42,12,36,40,46,15,26,53,25,24,29,11,43,18,40,60,40,53,44,41,14,43,44,43,83,16,57,44,14,36,25,20,37,21,30,28,59,46,26,41,75,55,5,60,75,30,30,47,54,39,44,63,55,24,17,71,28,0,24,42,50,53,51,42,28,69,75,84,68,64,4,0,23,83,14,15,8,2,7,9,25,40,18,25,22,1,53,1,56,19,62,18,18,35,41,49,40,37,56,24,43,78,45,40,41,18,1,3,22,8,33,0,18,65,17,25,27,81,87,27,6,61,85,62,82,6,0,6,0,3,22,73,39,55,51,49,75,57,50,50,52,27,70,73,75
2006-11-01,14,27,30,16,21,63,50,58,67,64,65,13,25,53,39,27,42,6,25,12,7,20,16,13,25,24,8,15,10,20,51,26,38,27,19,52,70,32,33,50,53,9,21,33,42,22,24,40,19,28,26,14,26,18,38,50,40,42,41,37,17,49,48,52,68,12,48,45,18,35,23,17,27,29,26,22,65,44,28,54,65,53,4,67,67,31,49,43,52,29,31,45,33,21,17,78,19,0,26,41,49,57,48,43,28,60,72,73,60,52,4,0,5,65,6,13,9,3,8,8,25,44,18,25,23,1,49,1,58,17,71,24,27,47,47,49,58,56,72,47,50,91,51,53,52,26,0,3,28,9,45,0,26,64,22,25,32,90,93,30,4,46,70,51,76,4,0,4,0,1,19,71,39,49,48,28,68,55,53,38,69,21,69,96,70
2006-12-01,13,32,36,16,23,58,45,53,61,57,46,9,17,33,23,24,37,8,24,13,10,19,16,7,26,22,6,15,9,19,38,41,53,39,39,45,63,30,36,36,42,8,38,41,38,15,26,63,16,17,34,16,40,20,14,54,49,53,50,42,26,68,51,68,63,12,52,44,26,33,25,19,38,21,17,22,66,45,30,46,60,46,4,58,60,22,15,38,35,47,43,51,33,20,21,79,26,0,26,28,33,50,45,25,42,58,67,65,54,47,8,0,8,38,9,17,10,2,10,8,28,46,19,28,22,1,42,1,47,15,82,31,32,53,59,66,74,48,83,37,72,90,72,59,74,33,1,3,33,11,39,2,21,61,25,25,33,69,89,26,6,39,72,46,65,4,0,5,0,2,11,76,32,42,51,30,73,41,41,33,62,35,59,76,75
2007-01-01,18,20,25,22,16,61,50,53,70,64,52,15,24,53,47,24,34,6,26,13,8,30,18,15,33,40,9,23,13,30,39,36,44,28,14,61,59,34,48,43,41,11,39,22,47,24,32,59,28,32,27,13,41,16,40,54,48,61,51,52,21,54,54,55,70,12,52,39,23,29,17,16,18,15,19,24,64,39,28,54,64,54,4,56,68,54,40,23,40,35,55,61,40,19,17,74,22,0,26,41,20,55,38,19,30,73,75,79,60,61,77,1,41,75,40,19,11,3,9,8,25,41,20,25,22,1,45,1,61,18,58,15,16,30,38,58,42,40,48,35,49,72,50,45,51,16,1,4,19,8,27,0,15,59,16,27,34,83,100,28,8,51,87,59,74,5,0,6,0,1,19,99,42,53,52,23,85,52,50,41,52,35,66,53,59
2007-02-01,19,17,23,20,13,63,50,59,71,68,48,22,57,47,63,30,31,11,29,14,10,33,23,25,33,47,12,27,14,35,39,31,37,29,22,66,69,39,41,48,48,13,35,63,46,24,47,68,34,37,34,18,46,22,37,61,52,63,59,50,24,62,55,62,75,14,54,49,19,26,26,20,43,33,27,23,72,52,35,56,68,53,4,64,71,40,40,27,39,39,51,59,35,20,23,80,22,0,20,48,20,53,43,17,31,70,77,86,66,60,41,1,55,57,58,17,11,4,10,8,27,46,20,27,23,2,50,1,66,16,55,14,14,33,35,53,36,45,48,35,35,55,37,32,36,15,1,5,18,8,23,1,11,62,14,25,29,80,86,28,10,56,83,56,66,8,0,8,0,2,18,91,39,53,52,22,60,52,41,34,74,21,75,76,88
2007-03-01,18,19,24,18,14,73,53,58,78,71,36,11,23,46,36,45,49,18,40,21,12,30,27,22,36,56,21,38,16,38,51,39,32,31,33,67,64,40,51,70,40,34,42,100,46,19,49,73,35,36,37,20,36,25,11,68,61,84,61,57,17,54,52,55,82,14,51,35,17,28,35,21,43,38,38,32,73,53,32,49,79,58,5,65,76,30,43,30,39,50,57,73,40,25,21,73,29,0,20,46,24,69,63,22,36,80,74,92,74,66,17,0,73,50,52,19,11,3,10,7,24,38,24,24,22,1,52,2,65,21,58,15,16,29,32,45,35,44,46,41,39,65,38,32,41,16,1,6,19,7,33,0,18,54,16,23,26,78,88,26,10,52,71,50,57,7,0,9,0,3,19,88,44,53,64,24,61,55,34,52,67,41,76,84,54
2007-04-01,17,19,25,20,16,80,57,61,77,72,41,14,27,50,36,55,49,25,58,32,23,36,31,22,43,67,27,46,21,43,33,36,81,40,31,75,71,50,47,82,46,14,29,53,57,23,47,54,38,46,31,21,37,21,39,70,69,89,69,76,6,23,34,23,85,15,47,42,17,24,47,31,55,31,56,33,73,52,30,39,85,63,5,70,79,42,47,38,46,37,41,51,37,24,24,62,23,0,27,56,30,63,66,30,39,86,81,99,91,67,6,0,63,53,34,18,11,4,9,7,26,39,19,26,22,2,56,5,54,26,55,16,17,37,37,38,29,37,52,31,36,61,36,32,38,17,0,8,25,7,33,2,17,62,17,26,34,75,87,32,6,45,63,45,52,6,0,7,0,1,25,87,47,55,70,17,68,48,30,18,60,31,62,71,48
2007-05-01,18,22,27,17,18,83,53,59,75,76,53,13,18,47,28,66,55,31,64,38,23,47,34,30,47,79,31,57,25,50,43,40,60,36,24,78,52,62,50,74,39,13,28,58,52,23,67,65,49,67,33,22,36,27,37,76,66,95,68,78,3,19,26,19,78,13,50,38,17,27,58,43,75,34,75,30,67,47,28,44,87,58,5,64,87,42,53,40,58,46,71,77,32,29,28,64,29,0,31,49,27,67,69,24,38,84,82,99,79,71,2,0,6,30,24,19,13,3,9,9,22,42,17,22,23,2,66,10,62,29,53,18,19,42,35,50,33,37,56,32,32,50,34,31,33,19,0,9,27,7,41,1,20,58,19,23,29,77,80,26,7,53,81,51,64,15,0,15,0,5,29,78,50,58,74,36,66,62,46,38,52,48,63,64,43
2007-06-01,21,25,27,20,19,81,50,60,75,72,44,7,14,25,23,61,64,35,65,34,28,55,42,34,48,76,34,60,26,53,60,34,38,36,8,81,50,50,36,55,46,14,42,45,52,29,52,76,40,56,33,24,36,27,28,71,68,92,69,75,3,22,27,22,69,13,41,39,17,25,55,46,71,41,58,27,67,46,26,62,85,57,5,64,81,53,60,58,74,59,65,69,35,30,30,67,35,0,29,55,23,66,66,24,51,85,80,99,77,67,2,1,6,44,33,20,13,4,10,8,28,43,17,28,23,1,57,14,58,31,55,18,19,51,38,45,35,37,49,34,38,57,38,37,38,19,1,11,29,7,35,1,21,64,19,25,32,73,79,24,7,50,82,54,71,6,0,7,0,1,28,89,46,55,69,23,52,48,43,22,49,31,81,68,21
2007-07-01,20,23,29,23,17,81,53,58,86,77,49,12,20,35,29,62,61,31,61,36,25,69,55,42,63,100,55,67,38,63,40,45,38,45,20,78,54,53,49,52,42,9,47,55,49,24,40,68,28,47,33,24,40,23,33,64,82,93,78,71,4,16,28,16,73,16,60,49,15,30,51,48,66,27,64,31,68,45,30,54,87,60,5,64,84,69,44,46,75,77,64,75,49,28,20,55,29,0,30,45,24,66,63,25,54,91,79,99,93,69,2,0,5,26,34,20,12,3,11,9,29,42,19,29,22,2,62,13,55,28,58,20,19,45,43,45,43,43,54,37,45,72,45,53,45,20,1,13,28,8,49,1,30,65,20,29,37,78,90,21,8,45,68,45,51,5,0,7,0,3,29,80,46,58,74,30,54,51,35,42,60,63,70,62,34
2007-08-01,25,21,30,22,17,80,53,59,85,74,31,10,25,33,27,52,66,20,53,30,23,58,42,31,59,98,39,65,30,61,38,41,46,45,21,81,63,59,42,70,40,16,41,40,47,12,27,61,20,23,26,11,41,18,10,63,74,80,75,70,4,23,33,24,72,10,53,49,13,27,42,38,56,25,53,35,75,53,29,68,86,58,5,64,84,43,54,57,72,56,56,72,43,30,24,67,31,0,21,46,26,58,54,25,54,84,82,96,92,67,2,0,7,44,25,17,11,4,9,7,27,41,17,27,23,1,54,6,57,25,59,20,19,40,41,45,27,45,68,25,46,76,46,47,46,21,1,14,25,8,64,1,35,59,19,32,38,77,93,23,8,47,71,46,66,4,0,5,0,3,29,85,46,55,75,29,55,49,35,38,45,44,53,61,43
2007-09-01,27,21,27,22,17,78,51,58,86,71,63,31,27,41,35,44,54,15,43,22,20,38,29,20,44,63,24,40,18,46,70,54,37,54,13,71,54,49,46,52,60,14,57,49,51,14,31,57,24,31,29,12,39,18,26,60,62,73,65,49,10,37,43,38,81,20,57,51,13,27,38,27,35,28,47,31,76,48,28,57,88,56,5,63,78,47,43,43,58,38,52,63,49,23,17,61,24,0,28,46,31,57,56,25,53,85,81,89,86,67,3,0,48,77,18,19,14,4,11,7,27,40,17,27,23,2,61,2,58,25,56,19,18,33,41,64,42,44,64,33,46,77,47,40,46,20,0,14,22,9,46,1,26,59,19,25,29,73,91,25,7,47,82,46,69,3,0,5,0,1,23,77,48,51,76,24,69,52,29,39,67,27,70,78,67
2007-10-01,24,20,27,20,16,70,49,57,85,65,39,13,40,41,34,37,46,10,32,18,10,29,23,17,30,40,14,28,16,36,41,40,40,45,28,61,73,40,45,46,47,12,34,46,46,25,33,56,28,34,29,13,27,19,23,56,52,56,54,42,14,50,50,51,86,18,51,48,16,29,23,15,46,24,29,29,72,53,36,50,75,53,5,63,73,49,32,38,77,50,51,61,43,24,18,73,27,0,32,40,47,61,55,40,53,88,83,86,83,70,5,1,21,62,16,19,14,5,10,8,27,39,18,27,21,3,58,1,57,18,55,20,20,30,44,44,34,49,53,36,44,62,44,39,45,21,0,15,21,8,55,0,32,61,18,20,24,86,88,27,6,45,72,52,90,3,0,4,0,1,22,76,43,49,68,30,69,39,39,40,64,27,72,88,68
2007-11-01,23,31,33,23,20,63,47,56,76,64,47,13,25,43,36,27,37,7,25,15,9,21,20,11,29,29,7,20,10,25,53,34,28,33,25,61,65,34,49,41,38,12,25,44,37,25,36,62,23,33,35,14,30,19,40,45,48,44,48,37,23,61,53,60,76,11,48,51,13,28,24,15,32,24,31,25,76,43,22,54,70,53,5,58,71,30,47,40,59,33,39,57,37,24,26,68,29,0,23,41,66,59,63,53,69,80,72,77,74,60,6,1,7,69,8,19,12,4,10,7,30,42,18,30,23,2,54,1,56,23,87,30,32,47,55,53,48,46,56,26,59,87,61,82,61,33,1,16,30,11,65,1,40,55,24,22,27,89,90,31,9,49,78,53,64,4,0,5,0,1,22,76,39,48,66,30,75,56,43,37,67,24,65,77,98
2007-12-01,25,47,42,26,27,58,44,52,66,57,38,10,14,30,28,24,32,6,21,14,7,21,18,13,27,23,5,14,9,21,61,32,22,34,13,53,68,29,50,33,43,14,28,49,34,19,31,56,20,27,34,11,30,16,25,51,53,45,51,36,41,97,73,97,73,14,38,44,16,24,19,15,38,24,19,25,67,43,25,54,62,47,4,56,58,21,30,24,38,29,31,46,27,19,19,72,24,0,20,35,44,49,45,36,98,64,62,64,62,50,6,1,7,26,9,27,21,5,16,9,33,44,18,33,23,2,39,1,46,19,90,35,38,67,58,54,50,40,72,42,100,100,100,100,100,41,1,16,35,12,45,2,21,62,26,23,26,73,81,27,9,43,48,41,45,2,0,4,0,1,17,69,30,40,69,16,60,43,32,22,59,27,59,70,82
2008-01-01,25,23,29,26,15,58,48,58,73,64,50,12,17,34,37,24,29,8,22,12,8,32,25,25,29,44,12,28,14,36,53,37,27,42,10,60,69,41,49,39,37,14,33,39,43,25,35,68,26,49,40,18,40,20,40,55,56,57,59,49,32,72,65,72,69,13,45,51,18,28,20,20,35,39,17,24,71,60,26,56,64,54,4,67,69,32,41,43,49,49,49,62,43,24,22,71,29,0,19,43,24,54,41,21,69,76,68,81,75,62,63,1,41,46,34,26,19,5,13,9,29,42,21,29,23,3,50,1,54,20,64,17,16,34,40,55,35,39,48,34,59,68,59,55,60,19,1,21,20,8,30,1,13,53,19,25,29,86,98,32,8,42,60,50,68,3,0,5,0,2,22,91,45,51,75,27,59,41,34,42,38,48,55,55,57
2008-02-01,30,21,27,28,13,65,49,64,79,71,50,16,18,38,41,26,33,11,29,16,9,34,26,19,34,55,15,31,22,40,35,25,41,27,16,62,65,39,52,53,37,7,25,41,46,19,37,77,28,35,34,14,38,19,27,61,65,60,67,46,23,69,55,68,72,15,40,49,15,29,18,20,29,30,24,25,74,48,37,54,70,53,4,69,83,40,45,44,55,41,39,47,32,20,16,60,27,0,33,37,23,60,46,21,51,76,72,82,73,56,40,1,50,65,56,29,23,5,12,8,31,42,20,31,24,2,50,1,57,20,57,15,15,27,37,39,38,39,49,33,40,54,41,42,41,17,1,22,19,8,29,1,18,58,17,22,24,82,83,26,8,45,66,49,60,5,0,6,0,1,21,79,46,47,73,22,50,51,33,27,54,26,64,73,100
2008-03-01,28,21,27,29,16,82,52,63,85,78,40,20,20,38,35,41,41,13,37,24,11,32,32,22,35,70,26,39,23,46,47,35,59,40,16,78,72,52,52,57,34,8,33,39,49,23,47,80,32,44,42,13,37,20,9,64,69,67,70,61,20,58,58,58,85,14,50,50,16,30,29,29,45,29,33,28,77,62,35,59,81,61,5,68,92,41,46,47,50,51,56,67,39,20,24,71,31,0,20,44,25,61,59,25,66,88,76,93,84,68,18,1,71,58,45,29,23,6,13,8,32,37,24,32,21,2,53,2,54,25,50,18,16,32,38,35,35,34,43,33,48,70,49,58,49,19,1,29,20,8,42,1,21,58,19,25,29,82,88,26,5,46,73,51,61,6,0,8,0,3,21,71,52,49,72,26,57,55,47,28,59,27,60,73,76
2008-04-01,24,22,24,24,16,98,54,65,93,83,50,22,17,61,31,55,55,28,59,37,22,37,37,22,36,68,33,46,22,47,62,32,46,34,13,76,67,54,49,75,38,12,18,47,51,39,65,65,57,72,50,19,48,26,18,77,80,79,83,81,7,30,41,31,85,16,48,39,18,24,60,49,58,28,67,29,75,55,35,58,88,60,6,71,94,45,77,54,57,49,56,71,49,24,25,53,40,0,19,54,35,69,80,37,68,89,78,100,93,70,5,2,64,57,30,27,19,5,12,7,32,39,23,32,21,2,64,5,64,30,56,19,17,45,39,32,25,36,37,25,36,57,37,41,36,19,0,34,26,8,39,1,22,62,19,26,29,85,85,29,7,53,75,56,61,12,0,14,0,5,28,87,60,52,81,27,52,47,25,39,58,20,55,83,77
2008-05-01,28,27,32,31,18,100,52,65,90,82,44,23,12,42,30,57,57,30,64,39,20,41,45,34,42,82,33,61,27,56,52,34,46,38,14,85,62,60,45,68,31,9,27,41,38,46,79,81,75,88,28,29,32,30,13,78,78,91,84,75,4,20,29,21,86,14,47,49,19,29,75,59,84,35,80,24,72,57,34,55,87,56,6,71,93,61,43,47,58,45,52,66,42,27,27,62,28,0,26,38,28,58,67,29,82,88,81,94,94,70,2,2,6,37,22,28,22,6,14,7,30,42,22,30,22,3,67,6,61,30,56,21,17,52,43,38,26,31,47,30,35,52,36,42,37,21,1,37,29,8,41,1,20,60,20,23,25,77,83,26,7,59,73,56,59,13,0,15,0,6,30,80,50,53,85,39,58,44,29,36,61,31,62,75,60
2008-06-01,23,27,29,25,19,99,49,61,82,79,42,24,10,34,30,62,58,26,64,41,24,50,44,34,55,76,36,56,31,52,73,34,41,31,17,79,55,61,44,66,34,10,30,40,40,51,71,84,80,100,44,28,50,33,29,77,80,91,85,76,2,22,26,22,83,14,38,35,12,28,81,54,80,29,100,27,68,44,31,55,88,54,6,62,88,51,49,38,57,75,56,69,47,29,26,58,34,0,28,43,25,66,63,26,86,79,74,84,88,64,2,2,4,40,29,36,28,8,18,7,30,41,19,30,22,2,61,16,63,30,57,21,20,57,43,36,26,34,50,30,42,68,43,42,43,22,1,39,32,8,40,1,22,55,20,24,27,79,77,22,7,55,70,56,62,15,0,18,0,7,32,81,48,53,83,34,43,46,30,46,60,30,79,67,42
2008-07-01,26,27,29,25,17,92,52,62,83,78,47,24,31,51,19,56,51,26,62,40,25,61,59,40,64,89,43,61,39,65,54,35,31,29,19,81,60,73,60,66,45,7,21,40,44,48,55,78,56,84,40,20,72,29,9,79,96,82,100,80,6,23,31,23,70,15,45,47,17,26,66,63,69,25,81,26,69,53,30,52,85,56,5,66,88,45,62,57,73,67,68,73,55,27,25,50,29,0,22,41,26,65,56,26,95,76,70,88,88,64,1,2,5,21,32,31,24,8,16,7,29,41,19,29,22,1,56,11,56,30,58,21,20,49,44,42,35,31,55,29,37,59,38,43,39,22,1,42,29,8,50,2,32,55,21,30,32,80,86,25,8,54,78,57,63,12,0,15,0,9,35,76,51,51,90,19,48,57,33,19,56,40,64,65,31
2008-08-01,23,28,28,30,18,82,51,62,84,72,54,17,25,41,27,54,78,24,56,35,20,59,57,30,52,89,45,62,29,62,61,27,36,27,20,70,58,55,47,64,43,7,21,44,47,31,36,58,34,45,27,14,100,21,52,65,79,73,83,67,9,24,39,24,76,14,52,38,12,26,48,51,62,27,73,25,69,59,30,54,81,55,5,67,78,58,55,52,77,58,62,76,52,24,27,48,34,0,21,39,28,66,56,27,91,74,67,83,80,59,1,3,7,24,22,32,25,8,17,8,31,42,20,31,22,2,56,5,61,24,66,23,21,44,53,45,32,46,55,30,39,61,41,38,41,23,1,44,25,9,60,1,31,62,20,32,37,78,87,24,9,52,70,52,47,7,0,10,0,7,29,75,44,51,83,33,62,49,19,34,55,48,49,70,89
2008-09-01,23,25,28,31,16,78,47,62,78,65,37,16,15,28,37,40,57,14,40,28,14,36,42,20,40,60,27,43,22,41,56,35,30,37,26,63,62,52,45,49,49,10,30,39,38,35,36,62,34,48,40,17,52,22,30,60,62,62,63,50,14,42,46,42,75,15,44,49,11,26,37,34,51,26,46,26,74,50,24,45,78,52,5,68,75,34,59,54,73,61,52,64,50,27,27,59,27,0,23,47,36,57,58,35,67,76,66,76,82,54,3,3,33,57,24,27,24,9,16,8,28,39,19,28,22,3,61,2,57,25,62,19,19,36,42,53,37,50,59,43,38,64,40,36,40,21,1,42,21,8,40,2,21,60,20,26,29,79,84,28,7,57,79,56,62,21,0,22,1,15,30,76,46,50,81,33,45,56,34,40,68,24,60,82,80
2008-10-01,24,27,28,33,17,62,47,60,77,63,44,54,100,43,39,30,46,9,30,17,8,25,24,12,33,32,13,23,15,29,56,30,38,29,25,51,58,41,48,49,48,14,21,30,32,29,32,66,27,38,45,12,42,20,32,48,52,48,52,39,21,41,50,42,75,15,43,51,9,25,26,19,22,28,27,23,59,43,26,38,65,54,5,67,71,52,33,44,51,45,41,59,54,24,17,59,36,0,29,43,62,60,60,55,63,64,58,73,70,52,4,5,24,54,11,36,30,9,20,8,29,38,17,29,19,3,63,1,59,23,70,20,19,38,47,35,28,31,44,33,41,65,43,53,42,22,1,40,23,8,39,2,21,54,22,23,24,83,81,28,7,50,69,59,64,18,0,18,0,16,28,80,42,47,79,26,57,39,30,30,57,25,61,75,80
2008-11-01,26,40,32,30,20,54,47,56,68,56,45,68,78,86,54,23,37,7,23,15,6,17,25,11,29,19,9,15,9,20,42,25,37,27,20,51,49,30,47,48,39,10,31,41,36,20,27,56,23,32,40,9,30,15,25,44,42,40,46,37,36,59,51,60,62,16,44,35,11,26,24,23,35,26,24,18,68,48,23,47,58,51,4,59,61,49,28,46,65,71,41,53,41,20,18,56,27,0,29,43,70,54,63,60,67,61,56,62,68,43,5,6,5,55,9,34,27,10,19,10,31,41,19,31,21,3,51,1,54,21,80,28,30,51,55,35,46,39,58,43,54,79,55,63,57,32,1,40,31,10,48,2,23,56,26,25,25,82,78,32,7,45,57,51,56,14,0,15,0,12,26,69,36,44,76,37,42,40,49,51,53,44,57,74,70
2008-12-01,23,54,44,30,27,49,46,49,58,56,51,61,55,100,40,19,27,7,22,13,7,17,23,10,43,17,5,12,9,16,33,25,24,29,10,39,57,29,50,36,36,9,26,34,28,19,23,64,24,36,37,8,34,13,30,44,48,34,50,38,45,72,65,71,65,15,40,41,18,23,18,14,30,34,16,19,64,49,20,37,52,50,4,50,57,32,38,33,39,38,33,44,30,19,17,58,28,0,27,40,48,47,42,43,100,56,51,54,56,44,5,6,4,34,5,49,41,11,25,10,37,41,21,37,22,2,36,1,44,15,97,35,37,61,65,46,69,46,74,40,72,91,79,76,77,46,1,39,41,13,41,3,15,51,29,22,25,67,71,25,9,46,61,45,46,10,0,11,0,9,22,71,35,40,82,31,54,32,22,37,78,40,62,91,100
2009-01-01,24,28,28,35,18,54,47,54,63,64,40,22,21,46,39,21,21,9,22,12,9,25,30,19,34,29,11,19,12,29,45,29,29,31,17,49,63,33,57,53,40,11,25,42,34,27,20,63,29,50,48,8,39,14,11,47,48,39,51,43,43,83,79,84,62,18,37,30,13,24,21,15,33,32,28,22,66,59,32,50,57,52,4,59,65,32,46,29,44,40,43,52,44,20,21,50,29,0,30,41,24,49,44,23,62,60,55,63,65,48,34,8,24,48,26,38,33,10,24,11,35,38,19,35,21,2,49,1,51,22,68,20,16,34,46,49,35,38,59,34,44,64,45,53,45,20,2,40,21,9,30,2,11,52,21,25,26,70,81,31,9,47,55,50,50,8,0,9,0,9,23,77,42,45,74,22,40,45,38,29,54,46,54,68,59
2009-02-01,27,22,26,33,17,56,48,58,64,63,34,35,40,54,28,23,31,11,23,16,12,32,31,20,38,43,16,30,17,33,55,33,43,31,15,55,58,42,50,64,40,11,21,31,43,20,22,55,25,42,51,8,35,16,24,50,55,49,61,43,41,74,63,74,69,20,41,37,14,27,22,19,34,36,20,25,66,57,27,53,59,53,4,63,69,46,35,45,56,37,44,51,37,22,18,52,29,0,24,44,20,54,46,20,55,67,57,71,71,49,30,10,87,50,43,37,29,10,21,10,30,42,23,30,24,2,45,1,54,21,55,17,14,26,36,39,36,44,55,45,36,57,38,36,36,18,1,43,18,8,31,2,14,51,18,21,23,74,71,27,7,42,55,47,56,6,0,7,0,5,25,73,46,45,73,31,48,47,28,47,59,44,58,76,75
2009-03-01,23,23,26,29,17,74,56,58,71,71,44,43,49,58,28,34,42,17,38,25,15,35,37,25,37,43,25,33,20,34,44,23,48,26,17,62,60,46,47,61,35,8,26,35,46,28,25,70,27,46,40,9,33,15,21,55,60,60,65,56,24,54,55,55,70,15,41,40,17,24,33,20,37,39,40,25,74,67,27,55,66,59,5,63,81,55,57,72,81,45,50,60,34,22,22,62,31,0,33,37,29,61,62,27,66,73,63,78,82,54,10,10,70,58,23,36,29,10,21,10,32,36,30,32,21,3,54,2,50,23,53,17,13,33,42,37,35,33,41,29,37,50,39,44,39,18,1,47,19,8,36,1,18,52,19,22,21,81,76,27,9,43,55,48,54,6,0,7,0,3,30,77,52,48,74,18,53,45,32,21,81,37,54,100,86
2009-04-01,27,36,31,32,25,87,62,62,81,73,30,47,74,76,27,53,58,24,51,32,15,38,34,26,27,57,32,44,20,43,51,32,61,36,15,73,66,54,49,78,49,13,27,40,39,26,28,58,28,53,32,11,41,19,22,63,81,88,79,69,10,23,37,24,81,14,41,49,14,25,43,30,61,27,51,26,75,57,27,56,72,63,5,68,74,53,80,50,68,61,53,63,42,31,23,54,35,0,30,48,38,79,77,35,63,71,65,77,65,56,4,12,28,56,28,37,34,15,22,11,36,42,23,36,21,2,58,4,54,31,54,20,27,37,44,33,41,36,54,32,32,41,33,40,34,21,1,50,25,7,41,3,20,58,17,25,31,74,75,24,8,43,57,41,41,5,0,5,0,2,46,69,59,51,73,27,55,52,26,39,79,52,49,78,78
