date,841_Flyer,841_Canada,841_No Frills,841_Costco,841_Real Canadian Superstore,47_Car,47_Canada,47_Sales,47_Honda,47_Ford,1190_Car,1190_Canada,1190_Ford,1190_General Motors,1191_Motorcycle,1191_Mountain bike,1191_Canada,1191_Bicycle,1191_Mountain,1140_KAYAK,1140_Kayak,1140_Sales,1140_Outboard motor,1140_Boat,1213_Living van,1213_Trailer,1213_Sales,1213_Recreational vehicle,1213_Caravan,1013_Car,1013_Auction,1013_Sales,1013_Classic,1013_Classic car,1214_Car,1214_Trailer,1214_Sales,1214_Ritchie Bros. Auctioneers,1214_Truck,806_Car,806_Truck,806_Bugatti,806_Lamborghini,810_Car,810_Canada,810_Electric vehicle,810_Hybrid vehicle,810_Electric car,1317_Car,1317_Lock,1317_Smart,1317_Door,273_Motorcycle,273_Canada,273_Harley-Davidson,273_Sales,273_Yamaha Motor Company,148_Arctic Cat,148_Snowmobile,148_Ski-Doo,148_Polaris Inc.,1147_Aircraft,1147_Cessna,1147_Sales,1147_Airplane,1212_Scooter,1212_Motorcycle,1212_Canada,1212_Vespa,1212_Kick scooter,610_Van,610_Sales,610_Ford,610_Truck,610_Sport utility vehicle,815_Car,815_Canada,815_Sales,815_Ford,815_Honda,1294_Speed limit,1294_Ontario,1294_Exam,1294_Traffic ticket,1294_Driving,170_Driving school,170_Driving,170_Driver's license,170_License,170_Vehicle registration plate,138_Car,138_Code,138_Oil,138_apk,89_Car,89_Canada,89_Wheel,89_Tire,89_Rim,473_Car,473_Canada,473_Sales,473_Auto Trader Group,473_Used car,803_Car,803_Auto show,803_Air show,803_2010,803_Toronto,121_IGA Extra,121_Super C,121_Circulaire,121_IGA,121_Grocery store,276_Restaurant,276_Domino's Pizza,276_Menu,276_Toronto,276_McDonald's,650_Door,650_Canada,650_Air conditioning,650_Wood,650_The Home Depot,73_Walmart Pharmacy,73_Canadian Tire,73_Walmart,73_Walmart Canada,73_Calgary,355_Bookstore,355_Renaud-Bray,355_Archambault,355_Book,1146_EB Games Australia,1146_Game,1146_EB Games,1146_Canada,1146_Video game,18_Canada,18_Kijiji,18_Canadian Tire,18_Walmart,18_Shoes,1225_Outlet store,1225_Canada,1225_Hour,1225_Wholesaling,1225_Costco,270_IKEA,270_Furniture,270_Light,270_Canada,659_Gas,659_Petroleum,659_Filling station,659_Oil,659_Gasoline,1268_GasBuddy,1268_Costco Gasoline,1268_Gasoline,1268_Costco,1268_Price,38_SAAQ,38_Canada,38_Insurance,38_Vehicle insurance,38_Desjardins Group,844_Canada,844_Barcode,844_Point of sale,844_Image scanner,614_Vancouver,614_Centre Bell,614_Cineplex Entertainment,614_Ticket,614_Ticketmaster
2006-08-01,7,34,15,16,55,74,89,92,91,55,30,80,39,42,54,52,26,63,52,44,44,86,46,63,0,64,86,45,31,49,37,25,49,45,55,55,49,51,47,46,24,37,44,34,14,20,34,23,30,27,34,25,73,70,47,23,39,18,16,9,0,63,56,27,29,59,24,37,68,0,62,47,44,75,0,70,77,70,61,96,18,57,0,70,49,80,92,20,27,0,41,26,26,0,68,63,37,22,22,75,68,75,0,76,35,2,75,0,22,13,9,2,8,7,41,29,7,81,19,28,37,27,60,14,4,38,18,17,47,51,42,21,68,0,31,31,21,21,22,3,26,18,57,80,30,0,0,17,36,90,21,35,59,61,0,63,28,2,0,15,0,7,25,61,60,75,8,57,30,44,0,73,60,0,99,79
2006-09-01,7,34,17,15,56,63,79,81,82,53,23,98,93,36,38,36,17,40,46,29,29,66,43,41,0,33,52,28,14,50,11,59,32,31,32,45,62,0,50,48,21,41,40,31,11,19,32,23,23,19,26,24,58,59,56,32,73,38,32,23,0,61,64,29,31,41,31,27,47,12,51,48,47,74,0,60,70,85,59,85,4,69,40,60,46,41,64,17,23,0,35,22,22,0,52,60,26,24,30,62,64,66,0,60,31,3,38,0,44,12,10,3,7,12,39,28,7,78,20,29,40,14,60,33,2,29,16,17,39,63,72,36,71,0,34,34,19,30,21,3,21,17,58,72,29,41,0,17,27,90,27,28,54,59,0,62,32,2,0,18,0,5,22,55,57,65,7,38,42,41,0,75,80,0,78,75
2006-10-01,7,34,17,16,52,59,75,64,71,51,41,61,48,33,11,28,15,32,28,16,16,45,30,27,0,24,33,25,18,36,31,32,28,23,39,36,54,0,44,39,31,40,42,25,9,19,48,15,12,40,18,37,41,55,45,38,0,43,43,30,0,57,44,12,36,25,16,21,30,11,48,20,46,59,0,55,66,77,55,75,22,52,0,74,55,44,63,15,24,0,28,25,23,0,53,68,37,42,33,64,51,54,0,58,20,4,6,0,54,5,8,2,7,10,40,31,7,78,23,30,39,13,56,18,2,35,18,18,45,43,71,18,52,0,40,43,43,18,23,3,22,18,53,57,29,0,0,17,25,87,27,28,61,53,0,62,30,2,0,10,0,1,22,54,55,32,6,55,49,45,0,70,75,0,73,52
2006-11-01,8,43,14,21,57,56,68,60,63,50,45,68,53,43,0,15,9,25,18,16,16,35,13,20,0,15,15,6,10,39,69,30,32,20,21,32,39,0,33,32,48,33,53,31,7,13,27,22,14,32,18,46,37,39,40,21,0,49,55,37,0,48,45,19,35,23,4,22,26,20,38,35,44,65,0,46,60,56,53,65,21,53,0,59,58,31,45,16,21,0,33,16,21,0,56,65,32,43,40,52,51,59,0,48,13,4,4,0,29,10,9,3,8,12,44,27,7,84,21,30,38,12,58,6,3,47,24,27,46,42,31,39,65,0,53,50,47,74,28,3,28,26,51,42,28,0,0,22,25,93,30,33,46,51,0,51,43,1,0,11,0,2,19,49,49,26,6,33,28,40,0,69,70,0,96,69
2006-12-01,10,57,13,23,79,53,58,55,58,45,33,47,33,31,6,17,11,24,16,16,16,53,8,19,0,15,16,6,17,41,11,11,41,33,48,30,20,0,36,39,55,41,42,28,7,11,20,15,20,29,20,27,42,52,43,26,0,68,63,48,0,52,44,12,33,25,17,15,17,22,42,27,45,66,34,47,56,52,46,60,11,41,18,49,66,43,51,14,20,0,25,25,18,0,54,58,27,25,25,47,48,52,0,42,15,8,2,0,19,22,10,2,10,13,46,38,7,100,18,24,35,7,47,6,3,53,31,32,70,58,83,52,78,0,59,72,45,74,32,3,33,33,51,63,33,0,0,25,25,89,26,31,39,40,0,46,23,1,0,6,0,1,11,45,42,42,0,35,30,20,0,59,75,0,76,62
2007-01-01,9,36,18,16,47,55,70,67,61,50,47,57,53,26,20,19,11,26,17,18,18,49,23,30,0,23,33,5,20,40,27,46,35,42,31,34,45,0,48,51,76,22,41,35,13,10,25,24,14,39,16,37,52,51,41,30,28,54,59,48,70,52,39,17,29,17,10,15,19,0,49,45,39,64,0,48,60,60,54,64,10,51,0,51,57,55,61,14,19,0,28,26,20,0,48,51,37,19,23,61,55,62,35,57,40,77,3,1,53,14,11,3,9,10,41,32,8,89,20,25,34,12,61,21,4,30,15,16,36,44,58,22,63,0,45,49,46,54,22,4,19,16,43,29,29,0,0,16,27,100,28,32,51,55,0,59,41,1,0,10,0,3,19,55,53,39,6,43,23,22,0,66,59,0,53,52
2007-02-01,10,32,19,13,41,56,74,71,63,50,19,46,47,44,21,21,13,29,22,23,23,41,26,33,0,27,40,6,15,24,38,20,27,18,37,39,65,0,41,35,87,63,48,37,20,26,36,24,18,32,22,30,50,52,71,41,0,62,65,70,0,54,49,19,26,26,7,17,27,0,47,55,52,72,0,50,63,60,53,68,17,37,33,34,55,51,59,14,20,0,29,15,21,0,47,50,33,17,17,60,53,66,0,47,55,41,2,1,69,20,11,4,10,10,46,34,8,84,25,26,37,13,66,17,4,33,14,14,38,34,57,30,55,0,32,35,22,36,20,5,18,15,42,29,26,35,0,14,25,86,28,30,56,56,0,56,47,1,0,18,0,4,18,52,53,34,18,51,22,39,0,75,88,0,76,74
2007-03-01,11,33,18,14,45,61,83,74,73,53,22,54,46,39,28,26,23,40,29,27,27,41,15,30,0,38,51,36,16,47,8,43,43,36,41,40,58,35,51,46,78,100,40,33,15,23,47,19,21,9,25,4,57,68,50,31,0,54,40,43,0,51,35,19,28,35,10,23,38,9,52,29,53,73,0,60,65,56,58,79,15,64,44,44,60,57,73,20,25,52,35,25,16,0,51,56,36,22,26,66,63,75,0,56,55,17,7,0,52,13,11,3,10,7,38,28,8,73,22,26,41,15,65,5,3,29,15,16,37,32,45,31,47,0,32,39,24,46,21,6,19,16,51,32,28,0,0,16,23,88,26,26,52,53,0,50,37,2,0,15,0,5,19,51,53,48,16,39,24,32,0,76,54,0,84,67
2007-04-01,10,32,17,16,49,61,85,82,80,57,31,49,50,18,24,48,29,58,52,31,31,55,27,36,0,46,66,11,23,46,35,27,42,29,42,50,73,0,47,37,67,53,46,34,18,14,32,23,22,38,21,23,76,80,65,48,0,23,17,16,0,47,42,22,24,47,14,28,56,9,54,45,52,73,0,59,68,70,63,85,9,61,0,41,56,41,51,20,24,0,36,36,26,0,55,64,41,30,35,67,60,79,0,60,38,6,11,0,44,14,11,4,9,10,39,37,8,80,21,26,41,26,54,20,4,37,16,17,45,34,33,21,53,0,32,36,27,38,21,8,25,17,52,44,28,0,0,17,26,87,32,30,45,48,0,45,46,2,0,16,0,4,25,53,55,65,11,37,17,36,0,62,48,0,71,60
2007-05-01,10,37,18,18,60,67,88,81,83,53,27,48,47,26,55,53,30,64,58,34,34,58,49,47,0,57,72,15,24,58,50,34,42,48,35,62,69,34,50,53,47,58,39,37,21,20,100,23,22,36,27,34,78,88,60,64,0,19,11,11,0,50,38,21,27,58,52,38,75,17,55,53,47,67,0,60,68,62,58,87,18,64,29,50,71,71,77,18,29,26,48,37,24,0,56,63,40,24,35,71,66,73,0,65,37,2,17,0,12,4,13,3,9,10,42,27,7,82,23,31,46,36,62,24,1,42,18,19,42,40,65,30,51,0,31,32,23,41,21,9,27,19,50,46,29,30,0,19,23,80,26,28,53,53,0,51,35,7,0,12,0,6,29,55,58,55,5,31,36,32,0,63,43,0,64,52
2007-06-01,12,34,21,19,48,66,82,82,81,50,33,40,25,20,34,52,27,65,52,42,42,51,63,55,100,60,81,11,20,58,9,27,40,40,43,50,56,0,36,45,56,45,46,39,19,24,41,29,24,29,27,27,75,74,43,30,28,22,7,6,0,41,39,29,25,55,34,42,58,0,55,56,46,67,0,64,64,70,57,85,19,71,46,79,67,65,69,22,30,0,42,29,28,0,59,62,36,24,27,67,59,67,0,61,38,2,25,1,17,5,13,4,10,12,43,41,8,85,21,29,47,53,58,25,1,51,18,19,39,38,46,32,46,100,37,38,22,30,22,11,29,19,44,57,26,32,27,19,25,79,24,29,50,54,0,54,29,1,0,15,0,4,28,53,55,31,5,41,23,26,0,81,21,0,68,49
2007-07-01,12,33,20,17,68,67,89,94,81,53,19,51,35,50,28,58,31,61,53,55,55,73,59,69,0,67,100,26,27,51,9,35,49,37,42,53,57,0,49,43,46,55,42,39,19,14,40,24,25,33,23,36,71,80,79,24,0,16,6,7,0,60,49,12,30,51,27,37,64,9,64,41,45,68,0,63,67,90,60,87,28,74,60,76,59,64,75,21,28,0,45,27,28,0,56,63,35,25,29,69,59,79,0,66,42,2,36,0,14,23,12,3,11,15,42,31,8,88,21,30,47,51,55,25,1,45,20,19,47,39,62,35,51,98,53,45,28,52,21,13,28,20,42,47,24,0,0,20,29,90,21,32,45,44,100,45,30,2,0,17,0,3,29,57,58,45,5,26,30,26,0,70,34,100,62,60
2007-08-01,12,36,25,17,67,61,83,86,80,53,25,42,33,21,27,48,23,53,47,42,42,57,52,58,0,65,91,50,31,49,32,33,46,33,40,59,78,34,42,41,42,40,40,20,13,7,45,12,13,22,18,8,70,67,71,50,26,23,16,11,0,53,49,23,27,42,22,34,53,17,55,55,53,75,0,57,64,73,58,86,20,51,56,62,47,56,72,26,30,50,36,26,27,0,56,60,34,25,25,67,57,70,0,65,34,2,60,0,19,21,11,4,9,9,41,38,7,81,17,30,40,27,57,19,4,40,20,19,50,50,33,34,58,0,47,46,29,61,22,14,25,21,51,65,28,0,0,19,32,93,23,35,47,48,0,46,22,1,0,8,0,2,29,54,55,64,15,48,29,42,0,53,43,0,61,45
2007-09-01,14,36,27,17,52,58,77,82,78,51,42,54,41,34,26,39,17,43,40,29,29,41,38,38,0,40,64,10,23,50,40,25,53,51,39,49,57,0,46,43,38,49,60,21,12,26,15,14,14,22,18,17,49,54,39,34,0,37,23,20,0,57,51,33,27,38,12,23,47,0,47,64,48,76,25,57,59,78,56,88,26,65,28,44,42,52,63,19,23,0,34,43,19,0,48,57,31,25,31,67,53,76,0,58,24,3,23,0,46,17,14,4,11,11,40,40,7,79,20,30,37,12,58,14,6,33,19,18,46,79,50,34,78,0,40,46,31,46,23,14,22,20,53,72,29,0,0,19,25,91,25,28,47,48,93,46,29,1,0,12,0,1,23,53,51,31,5,44,24,24,0,70,67,0,78,67
2007-10-01,12,32,24,16,59,61,72,76,70,49,36,55,41,33,20,25,14,32,27,23,23,40,22,29,81,28,41,13,19,35,28,15,44,25,59,40,47,0,45,36,63,46,47,34,15,12,20,25,16,20,19,22,42,44,49,18,45,50,34,30,0,51,48,24,29,23,14,18,29,7,49,64,53,72,0,54,56,69,53,75,28,85,12,59,61,51,61,19,24,22,32,24,25,0,55,68,38,40,34,70,52,85,0,61,23,5,1,1,39,4,14,5,10,13,39,40,8,77,25,26,41,13,57,29,2,30,20,20,41,34,87,31,43,0,39,44,27,45,24,15,21,21,50,68,32,0,22,18,20,88,27,24,45,52,83,52,32,0,0,7,0,2,22,49,49,62,4,43,30,31,0,72,68,0,88,64
2007-11-01,16,45,23,20,60,54,71,69,63,47,32,54,43,20,19,19,13,25,19,20,20,33,13,21,0,20,32,4,16,37,41,21,30,18,58,34,48,29,49,39,57,44,38,41,18,17,32,25,14,34,19,32,37,41,42,11,22,61,48,44,0,48,51,12,28,24,19,15,31,7,43,51,43,76,22,48,53,60,53,70,22,53,24,53,59,39,57,17,24,0,30,22,24,0,47,72,39,53,42,60,49,70,27,55,15,6,2,1,28,7,12,4,10,12,42,39,8,80,20,30,39,9,56,24,4,47,30,32,48,42,56,40,56,79,82,59,41,74,28,16,30,33,51,71,30,25,0,24,22,90,31,28,49,46,0,53,22,1,0,11,0,3,22,45,48,33,4,45,30,19,0,65,98,0,77,67
2007-12-01,17,61,25,27,73,48,60,62,58,44,22,40,30,22,13,13,9,21,15,18,18,29,9,21,0,14,23,5,9,36,15,8,37,27,32,29,31,0,50,36,54,49,43,29,11,23,7,19,12,29,16,16,36,42,31,14,0,97,84,69,0,38,44,17,24,19,6,10,19,16,45,51,43,67,0,44,48,71,47,62,16,41,80,27,52,31,46,15,19,0,26,23,17,0,46,67,33,36,24,50,41,63,0,44,16,6,3,1,15,36,21,5,16,10,44,48,9,90,15,23,32,7,46,4,2,67,35,38,75,55,69,52,59,0,100,100,54,100,34,16,35,41,49,63,31,0,0,26,23,81,27,28,43,35,0,41,27,1,0,9,0,2,17,41,40,13,0,31,16,27,0,59,82,0,70,59
2008-01-01,15,35,25,15,48,55,69,68,58,48,36,44,34,14,4,14,11,22,15,25,25,35,12,32,0,28,37,21,12,41,7,14,44,30,48,41,54,0,49,34,81,39,37,40,19,19,19,25,19,42,20,29,49,49,48,23,22,72,75,59,0,45,51,13,28,20,11,14,17,7,46,64,60,71,0,51,53,65,54,64,12,49,60,51,64,49,62,19,24,21,21,26,17,0,41,52,27,21,17,62,51,73,0,52,36,63,3,1,43,18,19,5,13,12,42,42,9,82,20,28,39,8,54,16,1,34,17,16,48,60,41,29,64,0,55,59,33,56,22,21,20,19,40,33,22,0,0,19,25,98,32,32,42,46,0,50,29,1,0,6,0,2,22,49,51,27,0,31,27,24,0,55,57,0,55,38
2008-02-01,16,31,30,13,51,53,72,73,65,49,26,49,38,45,19,19,12,29,19,26,26,29,17,34,0,31,44,4,16,32,14,15,25,23,32,39,65,0,52,33,75,41,37,33,14,21,39,19,18,27,19,29,46,57,45,28,23,69,57,54,0,40,49,12,29,18,14,13,24,15,49,57,48,74,0,49,56,67,53,70,15,54,37,70,56,39,47,15,20,0,27,33,19,0,42,49,28,21,30,56,53,73,28,48,54,40,5,1,71,19,23,5,12,12,42,43,9,82,19,26,35,10,57,0,3,27,15,15,46,34,51,31,44,0,42,40,29,35,20,22,19,17,42,41,23,0,22,17,22,83,26,25,45,55,0,49,28,1,0,11,0,4,21,48,47,34,9,23,22,23,0,64,100,0,73,54
2008-03-01,15,33,28,16,49,62,81,84,82,52,45,53,38,31,22,34,18,37,35,32,32,41,22,32,0,39,56,13,14,32,20,14,39,25,40,52,70,0,52,40,58,39,34,41,15,22,50,23,14,19,20,11,61,55,66,48,0,58,40,36,0,50,50,25,30,29,21,29,33,0,50,63,62,77,22,58,63,71,61,81,17,66,24,48,54,56,67,16,20,0,33,32,28,0,44,57,37,25,32,68,60,79,0,62,42,18,8,1,49,4,23,6,13,14,37,48,9,79,24,26,42,14,54,28,6,32,18,16,40,36,40,25,44,0,58,48,33,57,22,29,20,19,47,59,22,49,21,19,25,88,26,30,46,52,0,51,35,1,0,16,0,6,21,49,49,86,21,26,26,45,0,60,76,0,73,59
2008-04-01,14,34,24,16,42,71,85,90,98,54,41,53,61,36,38,40,31,59,43,37,37,44,30,37,0,46,58,4,16,40,21,14,36,33,41,54,78,86,49,36,55,47,38,59,22,35,77,39,22,23,26,21,81,75,55,49,22,30,20,13,0,48,39,15,24,60,30,35,67,21,59,31,55,75,0,61,65,79,60,88,2,64,12,55,61,56,71,17,24,42,42,26,23,0,56,66,47,37,44,70,64,90,27,60,36,5,8,2,41,11,19,5,12,11,39,47,9,77,22,32,44,25,64,16,3,45,19,17,44,35,37,19,45,0,41,36,29,42,22,34,26,19,52,52,24,0,21,19,26,85,29,28,53,56,0,56,36,3,0,25,0,8,28,49,52,30,21,45,27,28,27,55,77,0,83,58
2008-05-01,19,38,28,18,51,70,83,83,100,52,25,45,42,22,42,54,30,64,51,45,45,36,48,41,0,61,62,17,24,47,14,21,45,36,53,60,80,58,45,42,51,41,31,69,23,23,65,46,31,15,30,14,75,75,77,36,22,20,11,7,0,47,49,12,29,75,38,44,80,21,43,60,57,72,0,60,60,76,56,87,32,58,12,73,57,52,66,22,27,21,43,45,30,0,49,63,39,29,39,70,59,72,0,61,34,2,13,2,13,29,22,6,14,12,42,35,9,85,20,32,39,22,61,32,3,52,21,17,46,36,61,24,43,0,42,35,20,38,22,37,29,21,50,47,27,0,0,20,23,83,26,26,59,70,0,56,47,2,0,34,0,13,30,48,53,49,9,47,39,23,0,62,60,0,75,61
2008-06-01,17,35,23,19,53,68,81,85,99,49,26,52,34,32,37,53,31,64,54,44,44,53,56,50,0,56,68,23,28,41,22,8,38,29,62,61,70,0,44,37,59,40,34,96,30,62,48,51,30,24,33,27,76,75,59,34,0,22,7,8,0,38,35,10,28,81,41,47,100,30,54,45,44,68,0,56,57,70,54,88,24,63,26,22,60,56,69,23,29,0,43,35,30,0,48,61,36,26,34,64,59,71,0,54,37,2,64,2,16,20,28,8,18,9,41,35,9,82,22,31,46,61,63,22,2,57,21,20,45,34,35,27,38,0,42,42,33,50,22,39,32,22,46,48,22,0,23,20,24,77,22,27,55,81,0,56,38,4,0,34,0,16,32,49,53,45,5,26,34,14,0,79,42,0,67,60
2008-07-01,16,35,26,17,46,64,81,97,92,52,34,44,51,64,24,51,31,62,47,59,59,53,59,61,0,61,96,14,19,44,29,15,40,42,59,73,100,61,60,34,43,40,45,68,24,40,27,48,21,8,29,8,80,77,74,50,0,23,11,7,0,45,47,16,26,66,75,49,81,30,52,31,53,69,0,57,58,93,56,85,21,65,38,57,62,68,73,21,27,0,34,33,32,0,49,62,38,26,33,64,58,71,0,57,39,1,53,2,12,12,24,8,16,9,41,32,10,90,20,34,45,42,56,9,2,49,21,20,49,29,39,22,46,0,43,37,20,36,22,42,29,22,45,64,25,0,0,21,30,86,25,31,54,51,0,57,37,4,0,17,0,9,35,50,51,26,5,23,19,24,0,64,31,0,65,56
2008-08-01,18,37,23,18,48,57,73,87,82,51,13,50,41,26,16,42,21,56,42,57,57,53,50,59,0,62,77,5,29,38,7,38,35,29,49,55,71,0,47,33,42,44,43,44,19,32,34,31,15,45,21,50,67,61,63,43,0,24,14,11,0,52,38,25,26,48,29,31,73,15,49,52,59,69,0,54,55,66,55,81,32,60,0,55,49,62,76,20,24,23,34,33,26,0,50,59,36,27,28,59,53,75,0,54,27,1,48,3,19,31,25,8,17,11,42,43,9,81,20,31,37,19,61,4,4,44,23,21,55,53,39,32,61,0,38,39,21,37,24,44,25,23,52,70,24,0,0,20,32,87,24,34,52,50,0,52,30,4,0,9,0,5,29,47,51,49,0,42,33,32,0,49,89,0,70,55
2008-09-01,19,33,23,16,41,53,68,73,78,47,21,47,28,31,22,36,16,40,35,42,42,39,26,36,78,43,57,17,15,35,7,21,39,28,45,52,73,0,45,35,70,39,49,49,18,26,38,35,18,26,22,28,50,58,57,29,43,42,26,23,0,44,49,15,26,37,27,21,46,7,43,46,50,74,0,49,50,67,52,78,29,56,12,61,58,52,64,22,27,21,29,22,23,0,42,63,34,35,36,54,49,71,0,51,27,3,15,3,27,29,24,9,16,12,39,39,9,77,19,29,40,14,57,20,3,36,19,19,45,70,51,35,68,0,36,38,25,43,24,42,21,21,51,70,26,0,0,20,26,84,28,30,57,45,0,56,51,9,0,17,1,8,30,46,50,27,0,41,33,15,0,60,80,0,82,68
2008-10-01,21,35,24,17,43,51,64,63,62,47,30,43,43,49,31,20,13,30,20,24,24,30,24,25,0,23,30,4,11,35,12,26,32,31,39,41,51,52,48,29,56,30,48,42,11,7,29,29,13,31,20,45,39,46,32,33,0,41,36,27,0,43,51,14,25,26,15,16,27,6,37,34,43,59,20,46,47,72,54,65,7,56,11,50,49,41,59,21,24,19,33,29,27,0,41,71,39,55,44,52,44,63,0,45,17,4,3,5,38,13,30,9,20,13,38,38,10,73,24,29,39,10,59,22,4,38,20,19,48,29,45,28,39,71,53,41,29,54,25,40,23,22,48,58,25,0,19,22,23,81,28,27,50,51,0,59,29,7,0,18,0,12,28,44,47,41,15,36,26,22,0,61,80,0,75,57
2008-11-01,24,44,26,20,46,47,56,62,54,47,35,55,86,95,28,17,11,23,16,25,25,27,12,17,0,15,26,16,14,27,0,13,29,22,13,30,52,0,47,29,58,41,39,35,13,28,24,20,12,18,15,17,37,41,30,12,0,59,49,40,25,44,35,13,26,24,13,14,24,13,35,39,48,68,0,45,41,62,51,58,14,70,45,53,63,41,53,18,20,20,30,29,21,0,43,75,42,60,65,43,36,63,0,41,15,5,2,6,21,17,27,10,19,17,41,36,11,74,22,31,34,8,54,15,4,51,28,30,48,29,58,40,44,74,63,54,39,64,29,40,31,32,47,65,32,23,20,26,25,78,32,27,45,39,0,51,26,5,0,15,0,9,26,40,44,40,8,38,37,23,0,57,70,75,74,53
2008-12-01,29,57,23,27,62,45,51,58,49,46,41,56,100,84,0,11,9,22,12,23,23,21,6,17,0,12,16,8,13,31,13,20,35,24,27,29,47,0,50,30,64,34,36,29,12,21,0,19,12,33,13,34,38,41,32,14,21,72,68,56,0,40,41,7,23,18,5,10,16,0,37,36,49,64,0,41,40,71,50,52,2,48,92,45,58,33,44,13,19,0,28,25,21,0,43,61,35,43,33,44,33,66,0,39,13,5,2,6,15,17,41,11,25,15,41,44,11,81,17,25,30,9,44,8,6,61,35,37,67,37,66,56,58,0,76,72,48,48,34,39,41,46,48,63,29,24,0,29,22,71,25,27,46,31,0,45,27,4,0,10,0,7,22,37,40,20,4,27,31,14,0,62,100,0,91,78
2009-01-01,25,35,24,18,31,49,54,63,54,47,36,33,46,39,10,12,10,22,13,30,30,29,9,25,0,19,33,7,10,38,24,30,34,39,43,33,52,24,57,32,97,42,40,34,10,17,16,27,11,10,14,9,43,39,39,20,0,83,75,56,23,37,30,12,24,21,9,14,28,6,36,56,59,66,0,45,41,62,52,57,27,54,31,50,51,43,52,16,20,0,29,33,24,0,40,44,25,23,24,48,41,64,0,41,31,34,3,8,31,28,33,10,24,14,38,44,12,75,20,27,34,10,51,17,4,34,20,16,44,49,48,34,61,0,53,44,29,38,22,40,21,20,39,31,31,0,18,21,25,81,31,27,47,39,0,50,28,2,0,11,0,7,23,42,45,49,7,26,22,21,0,54,59,0,68,54
2009-02-01,23,30,27,17,33,49,57,73,56,48,33,57,54,54,24,18,9,23,19,31,31,38,16,32,0,30,39,4,12,29,13,6,35,22,50,42,50,0,50,30,70,31,40,26,12,19,0,20,9,31,16,20,43,46,45,15,0,74,57,54,0,41,37,16,27,22,15,11,20,0,40,54,57,66,0,46,43,70,53,59,20,52,22,34,43,44,51,16,22,0,30,30,24,0,40,45,34,20,27,49,43,70,0,47,44,30,7,10,70,30,29,10,21,14,42,36,12,79,21,26,34,7,54,18,3,26,17,14,39,30,33,28,41,0,36,36,26,16,20,43,18,18,42,44,26,0,0,18,21,71,27,22,42,41,0,47,23,3,0,17,0,7,25,41,45,36,12,34,31,27,0,58,75,0,76,59
2009-03-01,23,30,23,17,39,57,66,80,74,56,37,57,58,40,40,24,19,38,27,37,37,36,26,35,0,33,50,10,12,36,11,28,33,36,35,46,54,23,47,34,68,35,35,38,15,16,36,28,10,18,15,26,56,55,40,32,18,54,34,35,0,41,40,14,24,33,19,19,40,17,49,62,67,74,0,49,49,73,59,66,30,62,39,55,54,50,60,19,22,34,37,30,31,0,46,52,41,27,43,54,43,79,0,47,26,10,8,10,39,20,29,10,21,15,36,40,11,71,24,28,38,10,50,16,6,33,17,13,40,25,29,22,40,0,44,37,31,35,21,47,19,18,47,54,27,20,0,19,22,76,27,23,43,43,0,48,16,2,0,12,0,5,30,43,48,51,7,34,18,23,0,54,86,0,100,81
2009-04-01,35,47,27,25,45,63,95,83,87,62,39,81,76,57,22,39,30,51,38,34,34,39,40,38,0,44,62,0,22,45,12,24,46,46,50,54,79,0,49,35,77,40,49,34,22,17,16,26,12,29,19,24,69,86,45,29,0,23,14,13,0,41,49,11,25,43,25,32,51,6,50,50,57,75,0,56,82,78,63,72,19,63,30,45,63,53,63,25,31,36,40,39,34,0,51,77,48,35,54,56,65,79,23,50,38,4,7,12,16,24,34,15,22,13,42,56,15,74,25,31,50,24,54,24,4,37,20,27,40,33,29,28,40,0,40,32,32,32,29,50,25,21,56,54,32,0,36,17,25,75,24,34,43,39,0,41,33,1,0,11,0,5,46,55,51,56,14,39,27,30,0,49,78,0,78,79
2009-05-01,40,43,30,15,36,61,94,86,86,63,32,98,62,83,39,48,32,59,45,42,42,34,42,47,0,55,59,4,18,32,18,18,38,27,47,59,83,24,43,31,77,43,53,30,18,13,11,23,15,36,18,27,74,97,33,34,0,18,8,6,0,38,41,21,27,49,39,35,62,18,49,43,68,76,0,52,80,72,64,70,27,78,20,50,77,49,59,37,40,0,48,37,33,0,51,76,44,30,36,56,60,78,0,47,30,1,20,13,12,25,38,17,25,11,46,56,17,76,28,29,58,31,59,21,7,50,21,28,44,32,18,30,35,0,28,26,28,20,29,49,29,22,57,43,30,0,0,16,28,75,25,36,47,43,0,40,29,2,0,10,0,4,50,48,51,57,4,34,39,16,0,44,39,0,53,57
2009-06-01,38,43,27,14,33,60,89,88,80,62,26,65,54,76,42,45,31,55,43,46,46,40,50,56,0,56,74,4,19,38,18,24,42,35,43,56,77,0,43,30,71,42,49,30,16,17,5,24,10,35,15,30,75,90,45,22,0,19,6,4,0,41,31,16,29,48,23,26,50,18,47,47,67,69,0,54,69,78,62,70,31,67,41,48,61,67,75,41,40,36,42,40,33,0,49,75,38,27,36,52,58,81,23,43,40,2,34,15,8,28,31,16,22,15,45,55,17,76,29,31,57,45,54,24,10,45,22,28,42,35,27,30,39,0,44,27,25,34,29,48,26,22,50,57,26,0,0,16,26,72,25,34,51,44,0,42,26,2,0,9,0,4,51,56,56,62,15,39,37,27,23,59,38,0,47,59
